skill,category,normalized_skill,resume_match_weight,aliases,skill_type,parent_skill
retail,Domain-Specific / Other,Retail,2,,hard,Domain-Specific / Other
scanning,Domain-Specific / Other,Scanning,2,,hard,Domain-Specific / Other
sharepoint,Domain-Specific / Other,Sharepoint,2,,hard,Domain-Specific / Other
simulation,Domain-Specific / Other,Simulation,2,,hard,Domain-Specific / Other
spectroscopy,Domain-Specific / Other,Spectroscopy,2,,hard,Domain-Specific / Other
spreadsheets,Domain-Specific / Other,Spreadsheets,2,,hard,Domain-Specific / Other
statistics,Domain-Specific / Other,Statistics,2,,hard,Domain-Specific / Other
strategy,Domain-Specific / Other,Strategy,2,,hard,Domain-Specific / Other
supervision,Domain-Specific / Other,Supervision,2,,hard,Domain-Specific / Other
sustainability,Domain-Specific / Other,Sustainability,2,,hard,Domain-Specific / Other
testing,Domain-Specific / Other,Testing,2,,hard,Domain-Specific / Other
time,Domain-Specific / Other,Time,2,,hard,Domain-Specific / Other
transport,Domain-Specific / Other,Transport,2,,hard,Domain-Specific / Other
troubleshooting,Domain-Specific / Other,Troubleshooting,2,,hard,Domain-Specific / Other
usability,Domain-Specific / Other,Usability,2,,hard,Domain-Specific / Other
virtual,Domain-Specific / Other,Virtual,2,,hard,Domain-Specific / Other
visual,Domain-Specific / Other,Visual,2,,hard,Domain-Specific / Other
warehousing,Domain-Specific / Other,Warehousing,2,,hard,Domain-Specific / Other
academia,Engineering & Manufacturing,Academia,3,,hard,Engineering & Manufacturing
academic,Engineering & Manufacturing,Academic,3,,hard,Engineering & Manufacturing
academics,Engineering & Manufacturing,Academics,3,,hard,Engineering & Manufacturing
academy,Engineering & Manufacturing,Academy,3,,hard,Engineering & Manufacturing
aerospace,Engineering & Manufacturing,Aerospace,3,,hard,Engineering & Manufacturing
automation,Engineering & Manufacturing,Automation,3,,hard,Engineering & Manufacturing
bim,Engineering & Manufacturing,Bim,3,,hard,Engineering & Manufacturing
biomaterials,Engineering & Manufacturing,Biomaterials,3,,hard,Engineering & Manufacturing
cad,Engineering & Manufacturing,Cad,3,,hard,Engineering & Manufacturing
cadence,Engineering & Manufacturing,Cadence,3,,hard,Engineering & Manufacturing
